Strain	Cluster_ID	Main_cluster	Sub_cluster	Clonal_complex
GCA_015547545.1_ASM1554754v1	0.0	0	0	GCA_015547545.1_ASM1554754v1
GCA_009101785.1_ASM910178v1	0.0	0	0	GCA_009101785.1_ASM910178v1,GCA_009101535.1_ASM910153v1
GCA_009101535.1_ASM910153v1	0.0	0	0	GCA_009101785.1_ASM910178v1,GCA_009101535.1_ASM910153v1
GCA_009102015.1_ASM910201v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009101945.1_ASM910194v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009095545.1_ASM909554v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009148965.1_ASM914896v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009102025.1_ASM910202v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009102045.1_ASM910204v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009101985.1_ASM910198v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009093915.1_ASM909391v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009102075.1_ASM910207v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009101965.1_ASM910196v1	0.0	0	0	GCA_009102015.1_ASM910201v1,GCA_009101945.1_ASM910194v1,GCA_009095545.1_ASM909554v1,GCA_009148965.1_ASM914896v1,GCA_009102025.1_ASM910202v1,GCA_009102045.1_ASM910204v1,GCA_009101985.1_ASM910198v1,GCA_009093915.1_ASM909391v1,GCA_009102075.1_ASM910207v1,GCA_009101965.1_ASM910196v1
GCA_009102805.1_ASM910280v1	0.0	0	0	GCA_009102805.1_ASM910280v1,GCA_009102845.1_ASM910284v1,GCA_009102825.1_ASM910282v1,GCA_009102785.1_ASM910278v1
GCA_009102845.1_ASM910284v1	0.0	0	0	GCA_009102805.1_ASM910280v1,GCA_009102845.1_ASM910284v1,GCA_009102825.1_ASM910282v1,GCA_009102785.1_ASM910278v1
GCA_009102825.1_ASM910282v1	0.0	0	0	GCA_009102805.1_ASM910280v1,GCA_009102845.1_ASM910284v1,GCA_009102825.1_ASM910282v1,GCA_009102785.1_ASM910278v1
GCA_009102785.1_ASM910278v1	0.0	0	0	GCA_009102805.1_ASM910280v1,GCA_009102845.1_ASM910284v1,GCA_009102825.1_ASM910282v1,GCA_009102785.1_ASM910278v1
